SEASON,HOME,AWAY,W_HOME,W_AWAY,HOME_FG,AWAY_FG,HOME_FGA,AWAY_FGA,HOME_FG_PCT,AWAY_FG_PCT,HOME_FG3,AWAY_FG3,HOME_FG3A,AWAY_FG3A,HOME_FG3_PCT,AWAY_FG3_PCT,HOME_FT,AWAY_FT,HOME_FTA,AWAY_FTA,HOME_FT_PCT,AWAY_FT_PCT,HOME_OFF_REB,AWAY_OFF_REB,HOME_DEF_REB,AWAY_DEF_REB,HOME_TOT_REB,AWAY_TOT_REB,HOME_AST,AWAY_AST,HOME_STL,AWAY_STL,HOME_TURNOVERS,AWAY_TURNOVERS,HOME_BLK,AWAY_BLK,HOME_PTS,AWAY_PTS
2017-18,Rockets,Pelicans,1,0,45,38,93,96,0.484,0.396,18,6,47,21,0.383,0.286,6,9,8,12,0.75,0.75,5,12,43,34,58,53,22,19,10,10,22,16,8,6,114,91
2017-18,Pelicans,Lakers,1,0,52,43,95,87,0.547,0.494,6,17,24,39,0.25,0.436,18,22,22,28,0.818,0.786,8,7,34,33,47,50,28,19,13,4,10,16,4,3,128,125
2017-18,Pelicans,Pacers,1,0,34,34,79,93,0.43,0.366,8,7,23,22,0.348,0.318,20,17,24,18,0.833,0.944,10,15,40,33,56,53,15,15,4,13,20,15,11,5,96,92
2017-18,Pelicans,Mavericks,1,0,48,43,91,90,0.527,0.478,10,10,25,35,0.4,0.286,9,9,15,11,0.6,0.818,9,9,37,31,54,44,33,25,5,4,9,8,2,2,115,105
2017-18,Pelicans,Rockets,0,1,41,39,83,93,0.494,0.419,8,15,24,41,0.333,0.366,11,14,12,18,0.917,0.778,6,13,34,33,46,55,18,19,4,8,12,8,8,7,101,107
2017-18,Spurs,Pelicans,1,0,37,36,99,90,0.374,0.4,7,6,26,16,0.269,0.375,17,15,19,16,0.895,0.938,15,12,37,41,59,60,16,18,10,7,11,16,11,7,98,93
2017-18,Pelicans,Hornets,1,0,52,45,104,93,0.5,0.484,9,7,22,26,0.409,0.269,6,18,8,22,0.75,0.818,14,8,36,37,56,50,33,22,10,8,12,14,7,9,119,115
2017-18,Pelicans,Jazz,0,1,41,40,93,96,0.441,0.417,6,12,21,32,0.286,0.375,11,24,13,25,0.846,0.96,10,17,28,38,46,65,28,24,7,4,13,17,14,3,99,116
2017-18,Pelicans,Wizards,0,1,38,46,82,96,0.463,0.479,6,9,20,26,0.3,0.346,15,15,18,20,0.833,0.75,2,10,36,39,43,59,23,34,3,10,15,12,10,4,97,116
2017-18,Kings,Pelicans,0,1,39,47,93,83,0.419,0.566,9,11,28,26,0.321,0.423,14,9,17,9,0.824,1,14,5,25,35,46,47,20,26,4,6,9,16,5,7,101,114
2017-18,Clippers,Pelicans,0,1,46,46,99,103,0.465,0.447,7,13,27,30,0.259,0.433,17,16,26,18,0.654,0.889,10,9,47,42,67,54,25,39,5,11,13,8,2,12,116,121
2017-18,Mavericks,Pelicans,0,1,40,49,90,91,0.444,0.538,10,12,23,26,0.435,0.462,19,16,25,21,0.76,0.762,10,6,33,41,47,56,25,27,5,9,12,12,2,4,109,126
2017-18,Spurs,Pelicans,0,1,48,50,99,99,0.485,0.505,9,9,26,26,0.346,0.346,11,12,14,15,0.786,0.8,13,12,34,31,54,52,23,26,7,7,11,12,9,3,116,121
2017-18,Pelicans,Suns,1,0,43,42,91,97,0.473,0.433,8,7,28,24,0.286,0.292,31,25,40,32,0.775,0.781,9,14,37,37,58,61,30,23,7,9,14,14,8,5,125,116
2017-18,Bucks,Pelicans,0,1,44,51,96,107,0.458,0.477,7,10,25,30,0.28,0.333,26,11,29,14,0.897,0.786,9,11,35,39,50,64,21,22,10,8,14,17,3,7,121,123
2017-18,Pelicans,Heat,1,0,48,50,108,108,0.444,0.463,8,6,31,18,0.258,0.333,20,17,24,26,0.833,0.654,13,13,43,45,66,65,27,26,9,12,15,13,13,5,124,123
2017-18,Pelicans,Lakers,1,0,53,46,99,90,0.535,0.511,14,10,32,22,0.438,0.455,19,15,21,18,0.905,0.833,12,7,36,30,51,44,35,26,13,5,12,20,7,3,139,117
2017-18,Pistons,Pelicans,0,1,35,44,95,100,0.368,0.44,9,14,35,34,0.257,0.412,24,16,32,16,0.75,1,14,10,40,43,63,61,18,31,5,6,14,12,3,7,103,118
